source,chunk_id,asset_id,equipment_type,issue_type,text
blast_furnace_maintenance_sop.txt,0,ALL,blast_furnace,maintenance,"Blast furnace maintenance decision guide. Common maintenance concerns include tuyere leakage, stave cooling abnormality, hot blast valve issues, charging equipment faults, burden distribution problems, gas cleaning equipment degradation, and skip or bell-less top failures. Risk factors: water ingress, high shell temperature, abnormal tuyere camera observation, cooling water delta temperature rise, high top pressure fluctuation, gas leakage, refractory wear, and unstable burden descent. Immediate response: isolate unsafe zones, notify furnace control room, verify cooling circuit pressure and flow, check gas detection and CO exposure controls, reduce operating stress if approved, and involve refractory, mechanical, and process experts. Root cause analysis should separate process causes, cooling system causes, refractory wear, instrumentation error, and mechanical failure. Evidence includes thermocouple trend, cooling water chemistry,"
blast_furnace_maintenance_sop.txt,1,ALL,blast_furnace,maintenance,"experts. Root cause analysis should separate process causes, cooling system causes, refractory wear, instrumentation error, and mechanical failure. Evidence includes thermocouple trend, cooling water chemistry, gas analysis, burden distribution logs, inspection photos, and previous campaign history. Maintenance planning must include safety permit, hot work controls, gas testing, spares, refractory availability, shift handover, and restart criteria."
continuous_caster_breakout_prevention.txt,0,ALL,caster,breakout prevention,"Continuous caster abnormality and breakout prevention guide. Critical symptoms: mold temperature rise, uneven heat flux, friction increase, mold level instability, sudden casting speed change, abnormal oscillator vibration, breakout prediction alarm, water flow imbalance, and stopper rod instability. Likely causes: sticker formation, poor lubrication, SEN clogging, mold powder mismatch, copper plate wear, improper taper, cooling water blockage, unstable superheat, and control-loop disturbance. Immediate action: reduce casting speed under procedure, check mold level and heat flux trend, verify mold cooling water flow and delta temperature, inspect powder feed and lubrication, alert caster pulpit and mechanical maintenance, and prepare controlled stop if breakout risk remains high. Evidence to collect: heat flux map, mold thermocouple trend, caster speed trend, water flow readings, oscillation marks,"
continuous_caster_breakout_prevention.txt,1,ALL,caster,breakout prevention,"prepare controlled stop if breakout risk remains high. Evidence to collect: heat flux map, mold thermocouple trend, caster speed trend, water flow readings, oscillation marks, shell thickness estimate, powder batch, SEN condition, and recent tundish/ladle events. Restart acceptance: stable mold level, normal heat flux, verified water flow, no repeated breakout alarm, approved process engineer sign-off, and logbook entry."
feedback_learning_policy.txt,0,ALL,policy,feedback,Feedback loop policy. Engineer feedback must be stored in feedback_log.csv. Accepted recommendations increase confidence for similar future cases. Rejected recommendations must be used to revise action order and root cause ranking. Digital maintenance logbook entries must be created for every agent recommendation and alert.
industrial_safety_loto_policy.txt,0,ALL,safety,loto permit,"Industrial maintenance safety and LOTO policy. Before intrusive maintenance, identify all energy sources: electrical, hydraulic, pneumatic, mechanical, gravitational, thermal, chemical, and stored process energy. Minimum controls: lockout-tagout, zero-energy verification, permit to work, line break permit where required, hot work permit where required, confined space permit where required, barricading, gas testing, PPE, and communication with control room. Stop-work triggers: unexpected movement, uncontrolled pressure release, high temperature exposure, CO or gas alarm, unstable suspended load, missing isolation confirmation, water ingress into hot process equipment, and repeated critical alarm without clear cause. Restart requires tool clearance, guard restoration, interlock verification, no leakage, normal vibration or pressure reading, operator acceptance, and logbook closure."
industrial_safety_loto_policy.txt,1,ALL,safety,loto permit,"interlock verification, no leakage, normal vibration or pressure reading, operator acceptance, and logbook closure."
maintenance_prioritization_policy.txt,0,ALL,policy,priority,"Maintenance priority policy. Prioritize by safety risk, asset criticality, failure risk, estimated RUL, production delay, spare availability, and repair lead time. P1 Critical: high failure risk, low RUL, critical asset, production bottleneck, or safety risk. P2 High: elevated failure risk or repeated alerts with meaningful production impact. P3 Medium: warning condition that can be planned. P4 Low: monitor only. Always provide diagnosis, root cause, risk, RUL estimate, recommended repair plan, spares strategy, evidence sources, and alerting action."
rolling_mill_vibration_quality_guide.txt,0,ALL,rolling_mill,vibration quality,"Rolling mill vibration and quality guide. Symptoms: high stand vibration, chatter marks, roll force variation, strip thickness deviation, camber, flatness defects, bearing temperature rise, gearbox noise, and motor current oscillation. Likely mechanical causes: roll bearing wear, chock clearance, gearbox gear mesh defect, coupling misalignment, foundation looseness, lubrication starvation, and roll imbalance. Likely process or control causes: incorrect reduction schedule, unstable tension, roll bite instability, cooling mismatch, AGC control issue, and speed resonance. Inspection order: trend vibration by stand, compare drive and operator side readings, check roll force and motor current oscillation, verify lubrication flow, inspect roll chocks and bearings, take oil sample, check coupling alignment, and compare recent roll changes. Quality linkage: vibration and roll force oscillation can create chatter,"
rolling_mill_vibration_quality_guide.txt,1,ALL,rolling_mill,vibration quality,"roll chocks and bearings, take oil sample, check coupling alignment, and compare recent roll changes. Quality linkage: vibration and roll force oscillation can create chatter, thickness variation, shape defects, and surface marks. Containment should include product hold or sampling when critical quality symptoms are present."
SOP_GBX_17_gearbox_vibration.txt,0,ALL,gearbox,vibration,"Asset GBX-17 gearbox SOP. Symptoms: vibration above 7 mm/s warning or above 9 mm/s critical, temperature rise, abnormal noise. Likely root causes: bearing pitting, gear mesh wear, coupling misalignment, oil contamination. Inspection order: vibration spectrum, oil sample, bearing temperature, coupling alignment, gear backlash. Recommended action: if vibration exceeds 9 mm/s create P1 alert, prepare bearing set, inspect oil, schedule controlled shutdown. Required spares: gearbox bearing set, synthetic gear oil, coupling shim pack."
SOP_HPP_12_hydraulic_pressure.txt,0,ALL,hydraulic,pressure,"Asset HPP-12 hydraulic power pack SOP. Symptoms: low system pressure, slow actuator response, high oil temperature, pressure alarm. Likely root causes: filter choking, relief valve leakage, pump wear, hydraulic oil leakage. Inspection order: filter differential pressure, relief valve setting, oil level, pump noise, hose leakage. Recommended action: replace filter, inspect relief valve cartridge, top up oil, plan pump inspection if pressure remains below limit. Required spares: hydraulic filter element, relief valve cartridge, hydraulic oil."
SOP_MTR_204_motor_overheating.txt,0,ALL,motor,overheating,"Asset MTR-204 induction motor SOP. Symptoms: high winding temperature, rising current, vibration increase, repeated thermal alarms. Likely root causes: bearing lubrication loss, blocked cooling fins, overloaded drive, rotor imbalance. Inspection order: bearing temperature and grease condition, cooling fan, air path, current imbalance, coupling alignment. Recommended action: reduce load if temperature exceeds 80 C, inspect lubrication, clean cooling path, plan bearing replacement if vibration exceeds 5 mm/s. Required spares: DE bearing 6312, cooling fan kit, grease, current clamp meter."
SOP_PMP_09_cavitation.txt,0,ALL,pump,cavitation,"Asset PMP-09 cooling water pump SOP. Symptoms: low suction pressure, vibration increase, rattling sound, fluctuating discharge pressure. Likely root causes: clogged suction strainer, low tank level, air ingress, impeller erosion. Inspection order: suction strainer, tank level, inlet valve position, seal leakage, impeller condition. Recommended action: clean strainer, verify suction head, inspect impeller and mechanical seal, monitor pressure recovery. Required spares: mechanical seal kit, impeller assembly, suction gasket."
spares_procurement_strategy.txt,0,ALL,policy,spares procurement,"Steel maintenance spares and procurement strategy. Classify spares by criticality, lead time, consumption rate, failure consequence, and substitute availability. Critical long-lead spares must be reserved before planned shutdown. Zero-stock critical spares require immediate purchase requisition and management visibility. High-cost spares should be linked to condition monitoring evidence and shutdown plans. For each maintenance recommendation, state available stock, lead time, repairability, substitute rules, and whether procurement should be immediate, planned, or only monitored. Procurement priority should increase when an asset is a bottleneck, RUL is low, safety risk is high, previous delay hours are high, or no substitute is approved."
spares_procurement_strategy.txt,1,ALL,policy,spares procurement,no substitute is approved.
steel_agent_operating_model.txt,0,ALL,policy,agent workflow,"Steel Plant Agentic AI operating model. The agent loop is perceive, retrieve, reason, act, verify, log, and learn. Perceive: read natural language query, asset identifiers, process area, symptoms, sensor summaries, fault messages, and user role. Retrieve: gather SOPs, equipment manuals, maintenance history, failure analysis reports, incident records, spare inventory, production delay logs, and current asset health. Reason: classify intent, identify equipment boundary, separate symptoms from causes, generate hypotheses, estimate safety and production risk, and choose the best next action. Act: create maintenance recommendation, alert report, work order plan, spare strategy, supervisor summary, or SOP. Verify: check traceability, risk classification, safety controls, missing data, RUL uncertainty, spare feasibility, and restart acceptance criteria. Log: write a digital maintenance log entry with decision,"
